79	85	4
79	83	4
78	86	4
78	83	4
77	87	4
77	86	4
76	88	4
75	89	4
75	88	4
75	87	4
75	86	4
74	90	4
74	85	4
74	78	4
73	90	4
73	87	4
73	81	4
73	80	4
73	78	4
72	90	4
72	87	4
72	81	4
71	89	4
71	81	4
70	88	4
70	87	4
70	86	4
70	85	4
70	83	4
69	87	4
69	83	4
68	86	4
68	79	4
68	78	4
68	77	4
68	76	4
68	75	4
68	74	4
67	86	4
67	85	4
67	84	4
67	83	4
67	82	4
67	79	4
67	73	4
66	79	4
65	86	4
65	85	4
65	84	4
65	83	4
65	82	4
65	78	4
65	73	4
64	86	4
64	76	4
64	75	4
63	87	4
63	83	4
63	80	4
62	88	4
62	87	4
62	86	4
62	85	4
62	83	4
61	89	4
61	81	4
61	79	4
60	90	4
60	87	4
60	81	4
59	90	4
59	87	4
59	81	4
59	80	4
59	79	4
58	90	4
58	85	4
57	89	4
57	88	4
57	87	4
57	86	4
56	88	4
55	87	4
55	86	4
54	86	4
54	83	4
53	85	4
53	83	4
179	185	1
179	183	1
178	186	1
178	183	1
177	187	1
177	186	1
176	188	1
175	189	1
175	188	1
175	187	1
175	186	1
174	190	1
174	185	1
174	178	1
173	190	1
173	187	1
173	181	1
173	180	1
173	178	1
172	190	1
172	187	1
172	181	1
171	189	1
171	181	1
170	188	1
170	187	1
170	186	1
170	185	1
170	183	1
169	187	1
169	183	1
168	186	1
168	179	1
168	178	1
168	177	1
168	176	1
168	175	1
168	174	1
167	186	1
167	185	1
167	184	1
167	183	1
167	182	1
167	179	1
167	173	1
166	179	1
165	186	1
165	185	1
165	184	1
165	183	1
165	182	1
165	178	1
165	173	1
164	186	1
164	176	1
164	175	1
163	187	1
163	183	1
163	180	1
162	188	1
162	187	1
162	186	1
162	185	1
162	183	1
161	189	1
161	181	1
161	179	1
160	190	1
160	187	1
160	181	1
159	190	1
159	187	1
159	181	1
159	180	1
159	179	1
158	190	1
158	185	1
157	189	1
157	188	1
157	187	1
157	186	1
156	188	1
155	187	1
155	186	1
154	186	1
154	183	1
153	185	1
153	183	1
279	285	2
279	283	2
278	286	2
278	283	2
277	287	2
277	286	2
